trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
486,True,"{'a': 0, 'e': 0}",30,16,13.216014807847843,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
487,True,"{'a': 0, 'e': 0}",20,13,13.698407451503785,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
488,True,"{'a': 0, 'e': 0}",20,9,12.181797725501182,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
489,True,"{'a': 0, 'e': 0}",30,8,29.1648413978414,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
490,True,"{'a': 0, 'e': 0}",25,12,25.48880389166065,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,True,"{'a': 0, 'e': 0}",20,15,9.442150646885052,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
492,True,"{'a': 0, 'e': 0}",25,17,-31.350010261104863,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
493,True,"{'a': 0, 'e': 0}",30,7,22.267056174993698,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
494,True,"{'a': 0, 'e': 0}",20,11,13.278499591026561,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,True,"{'a': 0, 'e': 0}",20,6,22.6749327063967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
496,True,"{'a': 0, 'e': 0}",25,17,13.92391399173069,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
497,True,"{'a': 0, 'e': 0}",25,6,5.657521578006792,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
498,True,"{'a': 0, 'e': 0}",35,21,-16.25147749220921,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
499,True,"{'a': 0, 'e': 0}",20,5,-2.0009827976988532,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
500,True,"{'a': 0, 'e': 0}",25,15,16.838526352498757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
